"name_en","postcode","latitude","longitude"
"Kochchikade","11540","7.26570630","79.85912350"
"Kotadeniyawa","11232","7.28388130","80.06606500"
"Kotugoda","11390","7.12319100","79.92416730"
"Kumbaloluwa","11105","7.17710570","80.11214930"
"Loluwagoda","11204","7.29210060","80.13503500"
"Mabodale","11114","7.20243690","80.01872130"
"Madelgamuwa","11033","7.10846130","79.95986960"
"Makewita","11358","7.10095000","79.96332620"
"Makola","11640","6.97189890","79.94663980"
"Malwana","11670","6.95078440","80.01574490"
"Mandawala","11061","7.00011780","80.09399780"
"Marandagahamula","11260","7.22898140","79.99060150"
"Mellawagedara","11234","7.28568090","80.02694400"
"Minuwangoda","11550","7.18420760","79.95004770"
"Mirigama","11200","7.22711090","80.15676640"
"Miriswatta","80508","7.07273940","80.01576330"
"Mithirigala","11742","6.99622360","80.16099950"
"Muddaragama","11112","7.20859950","80.05500330"
"Mudungoda","11056","7.06669220","80.01226900"
"Mulleriyawa New Town","10620","7.08404840","80.00983140"
"Naranwala","11063","7.01189570","80.02414890"
"Nawana","11222","7.08404840","80.00983140"
"Nedungamuwa","11066","7.04897410","80.02135380"
"Negombo","11500","7.19554740","79.85733840"
"Nikadalupotha","60580","7.65409650","80.37560810"
"Nikahetikanda","11128","7.09880240","80.17913680"
"Nittambuwa","11880","7.14236390","80.10377210"
"Niwandama","11354","7.07345330","79.92777630"
"Opatha","80142","7.13205760","79.92634270"
"Pamunugama","11370","7.08649860","79.85488230"
"Pamunuwatta","11214","7.21631230","80.14146270"
"Panawala","70612","7.16740680","80.09399780"
"Pasyala","11890","7.16671030","80.12331750"
"Peliyagoda","11830","6.95849150","79.90558190"
"Pepiliyawala","11741","7.00218000","80.12890100"
"Pethiyagoda","11043","7.13806170","79.99510440"
"Polpithimukulana","11324","7.08404840","80.00983140"
"Puwakpitiya","10712","7.03801870","80.06746190"
"Radawadunna","11892","7.18438730","80.14146270"
"Radawana","11725","7.03194950","80.09399780"
"Raddolugama","11400","7.14063340","79.90136030"
"Ragama","11010","7.02317680","79.90777230"
"Ruggahawila","11142","7.11003790","80.11424340"
"Seeduwa","11410","7.14067840","79.88697320"
"Siyambalape","11607","6.96741120","79.98920340"
"Talahena","11504","7.08404840","80.00983140"
